type,time,frames, nrLights
Def,0.474834,2106,24
Def,0.415973,2404,24
Def,0.419463,2384,24
Def,0.419815,2382,24
Def,0.41841,2390,24
Def,0.409165,2444,24
Def,0.409165,2444,24
Def,0.407997,2451,24
Def,0.417362,2396,24
Def,0.405844,2464,24
Def,0.409836,2440,24
Def,0.421408,2373,24
Def,0.412371,2425,24
Def,0.417188,2397,24
Def,0.415973,2404,24
Def,0.41806,2392,24
Def,0.410846,2434,24
Def,0.412882,2422,24
Def,0.414079,2415,24
Def,0.418936,2387,24
Def,0.416667,2400,24
Def,0.414938,2410,24
Def,0.412371,2425,24
Def,0.417362,2396,24
Def,0.413736,2417,24
Def,0.422119,2369,24
Def,0.422654,2366,24
Def,0.426076,2347,24
Def,0.420168,2380,24
Def,0.420168,2380,24
Def,0.419463,2384,24
Def,0.422654,2366,24
Def,0.42337,2362,24
Def,0.422119,2369,24
Def,0.421763,2371,24
Def,0.421941,2370,24
Def,0.408497,2448,24
Def,0.41841,2390,24
Def,0.421053,2375,24
Def,0.418235,2391,24
Def,0.402901,2482,24
Def,0.424448,2356,24
Def,0.423729,2360,24
Def,0.417885,2393,24
Def,0.41684,2399,24
Def,0.422833,2365,24
Def,0.421763,2371,24
