type,time,frames, nrLights
For,3.98406,251,198
For,2.21239,452,198
For,2.07469,482,198
For,2,500,198
For,1.94175,515,198
For,2.06612,484,198
For,2.06186,485,198
For,2.05761,486,198
For,2.05761,486,198
For,2.08333,480,198
For,2.05761,486,198
For,2.05761,486,198
For,2.06186,485,198
For,2.0284,493,198
For,2.04918,488,198
For,2.05761,486,198
For,2.06186,485,198
For,2.08333,480,198
For,2.06612,484,198
For,2.05761,486,198
For,2.06186,485,198
For,2.0284,493,198
For,2.04499,489,198
For,2.04082,490,198
For,2.06612,484,198
For,2.07039,483,198
For,2.06612,484,198
For,2.06186,485,198
For,2.06612,484,198
For,2.07039,483,198
For,2.06612,484,198
For,2.06612,484,198
For,2.07039,483,198
For,2.07039,483,198
For,2.06186,485,198
For,2.05761,486,198
For,2.04082,490,198
For,2.04499,489,198
For,2.03666,491,198
For,2.04918,488,198
For,2.07469,482,198
For,2.07469,482,198
For,2.07039,483,198
For,2.06612,484,198
For,2.07469,482,198
For,2.07039,483,198
For,2.06186,485,198
For,2.07039,483,198
For,2.07039,483,198
For,2.06186,485,198
For,2.07469,482,198
For,2.07039,483,198
For,2.07469,482,198
For,2.07469,482,198
For,2.06612,484,198
For,2.07469,482,198
For,2.06612,484,198
For,2.07469,482,198
For,2.07039,483,198
For,2.07039,483,198
For,2.07469,482,198
For,2.07039,483,198
For,2.07039,483,198
For,2.07469,482,198
For,2.07039,483,198
For,2.07039,483,198
For,2.07469,482,198
For,2.06186,485,198
For,2.05339,487,198
For,2.07039,483,198
For,2.07039,483,198
For,2.07039,483,198
For,2.07039,483,198
For,2.07039,483,198
For,2.07039,483,198
For,2.07469,482,198
For,2.06186,485,198
For,2.07469,482,198
For,2.06612,484,198
For,2.06186,485,198
For,2.07039,483,198
For,2.07469,482,198
For,2.07039,483,198
For,2.06612,484,198
For,2.07039,483,198
For,2.07469,482,198
For,2.06612,484,198
For,2.07469,482,198
For,2.07469,482,198
For,2.07039,483,198
For,2.11416,473,198
For,2.08333,480,198
For,2.08768,479,198
For,2.08768,479,198
For,2.09205,478,198
