type,time,frames, nrLights
Def,1.90114,526,132
Def,1.51745,659,132
Def,1.49925,667,132
Def,1.47929,676,132
Def,1.48588,673,132
Def,1.49477,669,132
Def,1.50602,664,132
Def,1.49031,671,132
Def,1.49701,668,132
Def,1.5015,666,132
Def,1.49701,668,132
Def,1.49925,667,132
Def,1.52439,656,132
Def,1.50376,665,132
Def,1.5083,663,132
Def,1.50602,664,132
Def,1.5083,663,132
Def,1.51057,662,132
Def,1.5083,663,132
Def,1.5083,663,132
Def,1.55521,643,132
Def,1.50602,664,132
Def,1.51057,662,132
Def,1.5083,663,132
Def,1.51057,662,132
Def,1.5015,666,132
Def,1.50376,665,132
Def,1.50602,664,132
Def,1.67785,596,132
Def,1.63399,612,132
Def,1.63132,613,132
Def,1.65563,604,132
Def,1.5674,638,132
Def,1.5083,663,132
Def,1.5083,663,132
Def,1.52207,657,132
Def,1.51745,659,132
Def,1.51057,662,132
Def,1.51745,659,132
Def,1.5083,663,132
Def,1.51286,661,132
Def,1.51745,659,132
Def,1.51286,661,132
Def,1.52207,657,132
Def,1.52439,656,132
Def,1.54321,648,132
Def,1.52207,657,132
Def,1.51057,662,132
