type,time,frames, nrLights
Def,1.11483,897,72
Def,0.90009,1111,72
Def,0.906618,1103,72
Def,0.91659,1091,72
Def,0.914913,1093,72
Def,0.904159,1106,72
Def,0.917431,1090,72
Def,0.921659,1085,72
Def,0.891266,1122,72
Def,0.917431,1090,72
Def,0.910747,1098,72
Def,0.899281,1112,72
Def,0.909091,1100,72
Def,0.912409,1096,72
Def,0.915751,1092,72
Def,0.914913,1093,72
Def,0.915751,1092,72
Def,0.901713,1109,72
Def,0.912409,1096,72
Def,0.909091,1100,72
Def,0.893655,1119,72
Def,0.90009,1111,72
Def,0.90009,1111,72
Def,0.881834,1134,72
Def,0.88574,1129,72
Def,0.899281,1112,72
Def,0.894454,1118,72
Def,0.892857,1120,72
Def,0.897666,1114,72
Def,0.892061,1121,72
Def,0.88968,1124,72
Def,0.88968,1124,72
Def,0.894454,1118,72
Def,0.908265,1101,72
Def,0.900901,1110,72
Def,0.897666,1114,72
Def,0.907441,1102,72
Def,0.884956,1130,72
Def,0.899281,1112,72
Def,0.902527,1108,72
Def,0.912409,1096,72
Def,0.90009,1111,72
Def,0.90009,1111,72
Def,0.903342,1107,72
Def,0.904159,1106,72
Def,0.898473,1113,72
Def,0.902527,1108,72
Def,0.900901,1110,72
Def,0.905797,1104,72
Def,0.909918,1099,72
Def,0.906618,1103,72
Def,0.895255,1117,72
Def,0.902527,1108,72
Def,0.907441,1102,72
Def,0.900901,1110,72
Def,0.903342,1107,72
Def,0.91659,1091,72
Def,0.902527,1108,72
Def,0.905797,1104,72
Def,0.911577,1097,72
Def,0.901713,1109,72
Def,0.899281,1112,72
Def,0.90009,1111,72
Def,0.902527,1108,72
Def,0.918274,1089,72
Def,0.901713,1109,72
Def,0.878735,1138,72
Def,0.904159,1106,72
