type,time,frames, nrLights
Def,2.7248,367,204
Def,2.17865,459,204
Def,2.01613,496,204
Def,2.00803,498,204
Def,2.04082,490,204
Def,2.0284,493,204
Def,2.06186,485,204
Def,2.04499,489,204
Def,2.079,481,204
Def,2.04918,488,204
Def,2.03252,492,204
Def,2.05761,486,204
Def,2.04918,488,204
Def,2.04918,488,204
Def,2.04918,488,204
Def,2.03252,492,204
Def,2.05339,487,204
Def,2.04918,488,204
Def,2.04082,490,204
Def,2.05761,486,204
Def,2.06186,485,204
Def,2.05761,486,204
Def,2.06186,485,204
Def,2.05761,486,204
Def,2.05339,487,204
Def,2.10526,475,204
Def,2.08333,480,204
Def,2.07039,483,204
Def,2.05761,486,204
Def,2.04918,488,204
Def,2.06186,485,204
Def,2.06612,484,204
Def,2.07039,483,204
Def,2.07039,483,204
Def,2.06612,484,204
Def,2.09644,477,204
Def,2.06612,484,204
Def,2.08768,479,204
Def,2.079,481,204
Def,2.05339,487,204
Def,2.07039,483,204
Def,2.10084,476,204
Def,2.05339,487,204
Def,2.079,481,204
Def,2.079,481,204
Def,2.06186,485,204
Def,2.07039,483,204
Def,2.079,481,204
Def,2.07039,483,204
Def,2.079,481,204
Def,2.06612,484,204
Def,2.06612,484,204
Def,2.079,481,204
Def,2.05339,487,204
Def,2.07039,483,204
Def,2.07469,482,204
Def,2.07039,483,204
Def,2.06612,484,204
Def,2.06612,484,204
Def,2.05339,487,204
Def,2.06186,485,204
Def,2.079,481,204
Def,2.05761,486,204
Def,2.07469,482,204
Def,2.08333,480,204
Def,2.07039,483,204
Def,2.07469,482,204
Def,2.06186,485,204
Def,2.07469,482,204
Def,2.08333,480,204
Def,2.07039,483,204
Def,2.07039,483,204
Def,2.079,481,204
