type,time,frames, nrLights
For,1.53846,650,72
For,0.829187,1206,72
For,0.803859,1244,72
For,0.807103,1239,72
For,0.806452,1240,72
For,0.805153,1242,72
For,0.805153,1242,72
For,0.796813,1255,72
For,0.785546,1273,72
For,0.789889,1266,72
For,0.796178,1256,72
For,0.796178,1256,72
For,0.796178,1256,72
For,0.793021,1261,72
For,0.801282,1248,72
For,0.8,1250,72
For,0.803859,1244,72
For,0.803213,1245,72
For,0.797448,1254,72
For,0.798722,1252,72
For,0.805802,1241,72
For,0.806452,1240,72
For,0.802568,1246,72
For,0.801925,1247,72
For,0.796178,1256,72
For,0.779423,1283,72
For,0.803213,1245,72
For,0.802568,1246,72
For,0.81367,1229,72
For,0.81103,1233,72
For,0.811688,1232,72
For,0.81103,1233,72
For,0.81367,1229,72
For,0.806452,1240,72
For,0.807754,1238,72
For,0.812348,1231,72
For,0.807754,1238,72
For,0.811688,1232,72
For,0.812348,1231,72
For,0.802568,1246,72
For,0.810373,1234,72
For,0.814332,1228,72
For,0.809061,1236,72
For,0.813008,1230,72
For,0.813008,1230,72
For,0.811688,1232,72
For,0.811688,1232,72
For,0.81103,1233,72
For,0.812348,1231,72
For,0.812348,1231,72
For,0.81103,1233,72
For,0.813008,1230,72
For,0.810373,1234,72
For,0.81103,1233,72
For,0.812348,1231,72
For,0.811688,1232,72
For,0.81103,1233,72
For,0.812348,1231,72
For,0.797448,1254,72
For,0.812348,1231,72
For,0.806452,1240,72
For,0.808407,1237,72
For,0.793651,1260,72
For,0.797448,1254,72
For,0.809061,1236,72
For,0.81103,1233,72
