type,time,frames, nrLights
For,3.22581,310,168
For,1.86916,535,168
For,1.72712,579,168
For,1.7452,573,168
For,1.72414,580,168
For,1.68919,592,168
For,1.70648,586,168
For,1.70648,586,168
For,1.69779,589,168
For,1.69779,589,168
For,1.70648,586,168
For,1.70648,586,168
For,1.70648,586,168
For,1.72117,581,168
For,1.71821,582,168
For,1.73611,576,168
For,1.72117,581,168
For,1.71527,583,168
For,1.71821,582,168
For,1.71233,584,168
For,1.71527,583,168
For,1.7094,585,168
For,1.71821,582,168
For,1.70068,588,168
For,1.72414,580,168
For,1.72117,581,168
For,1.71821,582,168
For,1.71821,582,168
For,1.72117,581,168
For,1.71527,583,168
For,1.72117,581,168
For,1.72117,581,168
For,1.71821,582,168
For,1.71821,582,168
For,1.72414,580,168
For,1.72117,581,168
For,1.72117,581,168
For,1.71233,584,168
For,1.70648,586,168
For,1.72117,581,168
For,1.72414,580,168
For,1.7094,585,168
For,1.72117,581,168
For,1.71527,583,168
For,1.72414,580,168
For,1.71233,584,168
For,1.7301,578,168
For,1.7331,577,168
For,1.7331,577,168
For,1.7301,578,168
For,1.72712,579,168
For,1.7452,573,168
For,1.7301,578,168
For,1.7301,578,168
For,1.72414,580,168
For,1.72712,579,168
For,1.71821,582,168
For,1.71527,583,168
