type,time,frames, nrLights
Def,2.41546,414,198
Def,2.14592,466,198
Def,1.99203,502,198
Def,1.9802,505,198
Def,1.98413,504,198
Def,1.99203,502,198
Def,1.99601,501,198
Def,1.97628,506,198
Def,1.98807,503,198
Def,1.99203,502,198
Def,1.99203,502,198
Def,1.99601,501,198
Def,2.00401,499,198
Def,1.99203,502,198
Def,1.98807,503,198
Def,1.98807,503,198
Def,2,500,198
Def,1.98807,503,198
Def,1.99601,501,198
Def,1.98413,504,198
Def,1.99601,501,198
Def,1.99203,502,198
Def,2,500,198
Def,1.99203,502,198
Def,1.99203,502,198
Def,1.99601,501,198
Def,2,500,198
Def,1.99203,502,198
Def,2,500,198
Def,2,500,198
Def,1.99601,501,198
Def,1.99203,502,198
Def,2.00401,499,198
Def,1.98413,504,198
Def,1.99203,502,198
Def,1.99203,502,198
Def,1.99203,502,198
Def,2,500,198
Def,1.98807,503,198
Def,1.98413,504,198
Def,1.99203,502,198
Def,1.98413,504,198
Def,1.97628,506,198
Def,1.98807,503,198
Def,1.97628,506,198
Def,1.98807,503,198
Def,1.99203,502,198
Def,1.99601,501,198
Def,1.99601,501,198
Def,1.99601,501,198
Def,1.99601,501,198
Def,1.99601,501,198
Def,2,500,198
Def,2,500,198
Def,1.99203,502,198
Def,2,500,198
Def,1.99601,501,198
Def,2,500,198
Def,2,500,198
Def,2.00401,499,198
Def,1.97628,506,198
Def,1.99203,502,198
Def,2,500,198
Def,1.98807,503,198
Def,1.99203,502,198
Def,2.00401,499,198
Def,2.00401,499,198
Def,2.00803,498,198
Def,2,500,198
Def,1.99601,501,198
Def,2.0202,495,198
Def,2.00401,499,198
Def,2,500,198
Def,2.02429,494,198
Def,2.0284,493,198
Def,2.00401,499,198
Def,2.00803,498,198
