type,time,frames, nrLights
Def,1.94175,515,132
Def,1.51745,659,132
Def,1.47275,679,132
Def,1.4881,672,132
Def,1.51286,661,132
Def,1.5083,663,132
Def,1.50376,665,132
Def,1.49701,668,132
Def,1.4881,672,132
Def,1.50376,665,132
Def,1.50602,664,132
Def,1.49925,667,132
Def,1.49925,667,132
Def,1.51057,662,132
Def,1.50602,664,132
Def,1.49925,667,132
Def,1.49031,671,132
Def,1.50602,664,132
Def,1.51745,659,132
Def,1.51976,658,132
Def,1.52207,657,132
Def,1.51745,659,132
Def,1.51745,659,132
Def,1.52439,656,132
Def,1.51976,658,132
Def,1.52207,657,132
Def,1.52439,656,132
Def,1.51745,659,132
Def,1.51745,659,132
Def,1.52207,657,132
Def,1.53374,652,132
Def,1.52439,656,132
Def,1.53139,653,132
Def,1.52207,657,132
Def,1.51286,661,132
Def,1.52672,655,132
Def,1.53139,653,132
Def,1.53374,652,132
Def,1.52672,655,132
Def,1.52439,656,132
Def,1.51057,662,132
Def,1.51515,660,132
Def,1.50602,664,132
Def,1.53139,653,132
Def,1.52905,654,132
Def,1.51745,659,132
Def,1.53846,650,132
Def,1.52672,655,132
Def,1.51745,659,132
Def,1.51515,660,132
Def,1.5361,651,132
Def,1.51976,658,132
Def,1.52672,655,132
Def,1.51976,658,132
Def,1.51745,659,132
Def,1.52905,654,132
Def,1.52905,654,132
Def,1.51515,660,132
Def,1.52905,654,132
Def,1.53374,652,132
Def,1.52207,657,132
Def,1.51286,661,132
Def,1.49925,667,132
Def,1.52439,656,132
Def,1.52672,655,132
Def,1.53139,653,132
Def,1.53139,653,132
Def,1.53139,653,132
Def,1.53374,652,132
Def,1.52207,657,132
Def,1.53139,653,132
Def,1.53139,653,132
Def,1.53374,652,132
Def,1.52905,654,132
Def,1.52207,657,132
Def,1.53374,652,132
Def,1.54083,649,132
Def,1.51286,661,132
Def,1.51976,658,132
Def,1.52905,654,132
Def,1.54083,649,132
Def,1.53374,652,132
Def,1.5361,651,132
Def,1.5361,651,132
Def,1.53139,653,132
Def,1.5361,651,132
Def,1.53374,652,132
Def,1.52672,655,132
