type,time,frames, nrLights
Def,2.079,481,168
Def,1.85185,540,168
Def,1.87617,533,168
Def,1.85874,538,168
Def,1.92678,519,168
Def,1.89753,527,168
Def,1.91205,523,168
Def,2.12314,471,168
Def,2.06186,485,168
Def,2.04918,488,168
Def,2.04918,488,168
Def,2.03666,491,168
Def,1.87617,533,168
Def,1.88324,531,168
Def,1.90476,525,168
Def,1.87617,533,168
Def,1.88679,530,168
Def,1.89394,528,168
Def,1.89394,528,168
Def,1.87266,534,168
Def,1.9084,524,168
Def,1.86916,535,168
Def,1.90476,525,168
Def,1.88324,531,168
Def,1.87617,533,168
Def,1.88679,530,168
Def,1.87266,534,168
Def,1.86916,535,168
Def,1.88324,531,168
Def,1.87266,534,168
Def,1.87617,533,168
Def,1.90114,526,168
Def,1.90476,525,168
Def,1.89753,527,168
Def,1.89753,527,168
Def,1.91571,522,168
Def,1.89394,528,168
Def,1.89753,527,168
Def,1.8797,532,168
Def,1.88324,531,168
Def,1.90114,526,168
Def,1.89036,529,168
Def,1.90114,526,168
Def,1.89753,527,168
Def,1.90114,526,168
Def,1.89753,527,168
Def,1.90114,526,168
Def,1.90114,526,168
Def,1.9084,524,168
Def,1.90476,525,168
Def,1.90476,525,168
Def,1.9084,524,168
Def,1.89753,527,168
Def,1.9084,524,168
Def,1.89036,529,168
Def,1.89036,529,168
Def,1.90476,525,168
Def,1.89753,527,168
Def,1.90114,526,168
Def,1.89394,528,168
Def,1.88679,530,168
Def,1.89753,527,168
Def,1.88679,530,168
Def,1.86916,535,168
Def,1.89036,529,168
Def,1.89394,528,168
Def,1.90114,526,168
Def,1.9084,524,168
Def,1.9084,524,168
Def,1.89394,528,168
Def,1.88324,531,168
Def,1.8622,537,168
Def,1.87617,533,168
Def,1.8622,537,168
Def,1.91205,523,168
Def,1.88324,531,168
Def,1.89394,528,168
Def,1.89753,527,168
Def,1.90114,526,168
Def,1.89394,528,168
Def,1.90476,525,168
Def,1.90114,526,168
Def,1.90114,526,168
Def,1.90476,525,168
Def,1.90476,525,168
Def,1.9084,524,168
Def,1.90114,526,168
Def,1.9084,524,168
Def,1.89753,527,168
Def,1.89753,527,168
Def,1.90114,526,168
Def,1.87617,533,168
Def,1.90476,525,168
Def,1.90476,525,168
Def,1.89753,527,168
Def,1.91205,523,168
Def,1.90476,525,168
Def,1.90476,525,168
