type,time,frames, nrLights
For,2.99401,334,132
For,1.89036,529,132
For,1.38313,723,132
For,1.3947,717,132
For,1.31406,761,132
For,1.34953,741,132
For,1.35501,738,132
For,1.3587,736,132
For,1.34409,744,132
For,1.34953,741,132
For,1.34771,742,132
For,1.35318,739,132
For,1.35685,737,132
For,1.35501,738,132
For,1.36054,735,132
For,1.3624,734,132
For,1.3587,736,132
For,1.36054,735,132
For,1.3587,736,132
For,1.35685,737,132
For,1.3587,736,132
For,1.35135,740,132
For,1.34771,742,132
For,1.36426,733,132
For,1.3587,736,132
For,1.36054,735,132
For,1.3587,736,132
For,1.3587,736,132
For,1.35685,737,132
For,1.37174,729,132
For,1.37174,729,132
For,1.36054,735,132
For,1.36612,732,132
For,1.36426,733,132
For,1.36986,730,132
For,1.37174,729,132
For,1.35135,740,132
For,1.3587,736,132
For,1.36986,730,132
For,1.36426,733,132
For,1.36799,731,132
For,1.37552,727,132
For,1.36799,731,132
For,1.37363,728,132
For,1.37174,729,132
For,1.36986,730,132
For,1.36986,730,132
For,1.36799,731,132
For,1.3624,734,132
For,1.3624,734,132
For,1.36799,731,132
For,1.34771,742,132
For,1.37174,729,132
For,1.36799,731,132
For,1.36612,732,132
For,1.36986,730,132
For,1.36612,732,132
For,1.36799,731,132
For,1.36612,732,132
For,1.36612,732,132
For,1.36612,732,132
For,1.36054,735,132
